txop_num,duration,termination_time,From,To,Ended Properly
543,353,1602716301,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
544,4633,1602721296,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
545,336,1602721676,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
546,913,1602729623,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
547,3066,1602732733,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
548,484,1602736926,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
549,1810,1602752411,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
550,984,1602753440,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
551,890,1602754375,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
552,295,1602770788,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
553,2408,1602777259,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
554,744,1602778047,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
555,3418,1602787377,1c:28:af:1f:0d:91,ba:6d:f7:23:94:aa,no
556,2150,1602789783,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
557,223,1602794861,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
558,330,1602795235,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
559,3844,1602799124,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
560,4415,1602803838,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
561,2022,1602808877,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
562,3862,1602812783,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
563,478,1602813704,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
564,5050,1602835133,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
565,61,1602841310,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
566,61,1602844431,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
567,235,1602845812,1c:28:af:1f:0d:91,ba:6d:f7:23:94:aa,no
568,128,1602853977,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
569,1496,1602856624,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
570,128,1602856796,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
571,2621,1602859908,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
572,333,1602860285,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
573,3529,1602863859,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
574,16264,1602880167,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,no
575,60,1602880227,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
576,60,1602905373,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
577,128,1602980631,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
578,3958,1602986025,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
579,284,1602988157,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
580,627,1602993047,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
581,60,1602998567,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
582,426,1603001118,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
583,3994,1603010511,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
584,2915,1603015647,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
585,1206,1603020711,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
586,231,1603022285,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
587,704,1603024959,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
588,1908,1603026912,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
589,319,1603027275,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
590,3551,1603036526,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
591,3200,1603039770,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
592,3381,1603043195,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
593,196,1603049347,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
594,1419,1603050810,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
595,1157,1603052012,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
596,60,1603057852,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
597,1043,1603060176,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
598,990,1603061210,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
599,140,1603061394,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
600,2842,1603067401,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
601,1436,1603068837,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
602,1596,1603070975,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
603,128,1603071395,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
604,3285,1603074927,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
605,3774,1603078745,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
606,992,1603084352,1c:28:af:1f:0d:91,ba:6d:f7:23:94:aa,no
607,2606,1603087560,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
608,211,1603087815,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
609,2210,1603096434,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
610,2299,1603105197,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
611,231,1603105473,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
612,2000,1603107517,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
613,455,1603108016,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
614,1463,1603121750,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
615,2725,1603128668,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
616,3037,1603131749,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
617,6895,1603138689,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
618,2272,1603141006,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
619,2621,1603147687,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
620,61,1603147748,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
621,1273,1603149365,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
622,3136,1603152545,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
623,3259,1603155848,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
624,4309,1603160202,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
625,128,1603160611,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
626,2254,1603169839,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
627,983,1603170867,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
628,1288,1603172199,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
629,3320,1603175563,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
630,1121,1603184876,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
631,3186,1603191331,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
632,2644,1603194019,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
633,1155,1603195219,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
634,61,1603195280,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
635,128,1603195518,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
636,60,1603198728,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
637,1224,1603201825,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
638,128,1603201997,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
639,128,1603202749,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
640,1208,1603206559,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
641,44,1603206603,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,yes
642,219,1603208500,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
643,128,1603208672,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
644,128,1603209306,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
645,61,1603222481,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
646,586,1603226980,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
647,559,1603227587,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
648,4869,1603232504,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
649,497,1603233045,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
650,543,1603233632,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
651,556,1603234233,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
652,329,1603234606,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
653,373,1603235024,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
654,770,1603236756,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
655,938,1603241541,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
656,44,1603242235,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,yes
657,199,1603242650,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
658,129,1603242823,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
