txop_num,duration,termination_time,From,To,Ended Properly
2318,45,3122686814,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2319,61,3122701052,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2320,48,3122702570,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2321,160,3122704047,f6:1d:7c:23:62:7f,Unknown,yes
2322,124,3122705730,f6:1d:7c:23:62:7f,Unknown,yes
2323,47,3122707657,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2324,49,3122710104,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2325,47,3122716499,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2326,111,3122724461,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2327,111,3122724743,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2328,47,3122725200,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2329,47,3122727871,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2330,120,3122728277,f6:1d:7c:23:62:7f,Unknown,yes
2331,49,3122730291,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2332,47,3122736456,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2333,129,3122771388,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2334,47,3122774644,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2335,60,3122781377,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2336,130,3122819252,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2337,46,3122824629,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2338,61,3122831360,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2339,61,3122857091,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2340,111,3122864910,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2341,111,3122865229,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2342,46,3122866379,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2343,111,3122910654,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2344,111,3122957588,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2345,111,3123004633,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2346,111,3123019739,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2347,47,3123021307,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2348,47,3123036447,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2349,60,3123037409,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2350,47,3123039619,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2351,112,3123051614,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2352,48,3123057068,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2353,111,3123099392,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2354,60,3123107998,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2355,44,3123137376,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2356,115,3123137715,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,yes
2357,112,3123146132,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2358,61,3123157354,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2359,1177,3123177118,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,no
2360,112,3123177230,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2361,48,3123181607,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2362,60,3123183175,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2363,112,3123192541,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2364,61,3123213586,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2365,130,3123213881,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,yes
2366,60,3123214928,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2367,48,3123217928,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2368,126,3123218905,1c:28:af:1f:0d:91,e4:c7:67:97:31:14,yes
2369,112,3123219522,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,yes
2370,119,3123223270,1c:28:af:1f:0d:91,e4:c7:67:97:31:14,yes
2371,111,3123223593,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2372,112,3123223836,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,yes
2373,47,3123225859,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2374,61,3123239234,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2375,44,3123244471,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2376,112,3123255232,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2377,45,3123258902,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2378,61,3123269749,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2379,111,3123270054,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2380,112,3123301279,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2381,61,3123312110,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2382,60,3123319355,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2383,61,3123324093,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2384,60,3123345109,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2385,111,3123348065,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2386,45,3123351365,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2387,112,3123362959,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2388,46,3123377878,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2389,111,3123393269,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2390,46,3123396560,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2391,44,3123408341,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2392,111,3123408598,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,yes
2393,61,3123438918,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2394,112,3123441291,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2395,46,3123444966,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2396,44,3123470239,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2397,111,3123487892,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2398,44,3123490428,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2399,116,3123490816,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,yes
2400,45,3123492210,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2401,47,3123494723,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2402,116,3123496581,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,yes
2403,112,3123498046,1c:28:af:1f:0d:91,e4:c7:67:97:31:14,yes
2404,60,3123498265,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2405,133,3123498559,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,yes
2406,592,3123504014,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2407,376,3123504449,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2408,113,3123504621,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,yes
2409,335,3123514954,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2410,767,3123515781,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2411,746,3123516586,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2412,448,3123517093,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2413,296,3123517448,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2414,381,3123517888,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2415,111,3123518044,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2416,286,3123518819,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
